ProductID,ChannelID,LocationID,Qty,Period,StartDate,EndDate,UOM,NetPrice,ListPrice
APPLE_ELSTAR,ONLINE,NL-GE,471.69,Weekly,2023-01-30,2023-02-05,KG,2.614,2.614
APPLE_ELSTAR,ONLINE,NL-GE,946.59,Weekly,2023-02-06,2023-02-12,KG,2.599,2.599
APPLE_ELSTAR,ONLINE,NL-GE,914.6500000000001,Weekly,2023-02-13,2023-02-19,KG,2.621,2.621
APPLE_ELSTAR,ONLINE,NL-GE,851.72,Weekly,2023-02-20,2023-02-26,KG,2.599,2.599
APPLE_ELSTAR,ONLINE,NL-GE,905.74,Weekly,2023-02-27,2023-03-05,KG,2.65,2.65
APPLE_ELSTAR,ONLINE,NL-GE,712.91,Weekly,2023-03-06,2023-03-12,KG,2.58,2.58
APPLE_ELSTAR,ONLINE,NL-GE,954.3599999999999,Weekly,2023-03-13,2023-03-19,KG,2.607,2.607
APPLE_ELSTAR,ONLINE,NL-GE,751.73,Weekly,2023-03-20,2023-03-26,KG,2.583,2.583
APPLE_ELSTAR,ONLINE,NL-GE,739.42,Weekly,2023-03-27,2023-04-02,KG,2.601,2.601
APPLE_ELSTAR,ONLINE,NL-GE,832.78,Weekly,2023-04-03,2023-04-09,KG,2.599,2.599
APPLE_ELSTAR,ONLINE,NL-GE,782.3199999999999,Weekly,2023-04-10,2023-04-16,KG,2.657,2.657
APPLE_ELSTAR,ONLINE,NL-GE,775.71,Weekly,2023-04-17,2023-04-23,KG,2.572,2.572
APPLE_ELSTAR,ONLINE,NL-GE,752.36,Weekly,2023-04-24,2023-04-30,KG,2.636,2.636
APPLE_ELSTAR,ONLINE,NL-GE,714.63,Weekly,2023-05-01,2023-05-07,KG,2.614,2.614
APPLE_ELSTAR,ONLINE,NL-GE,671.1800000000001,Weekly,2023-05-08,2023-05-14,KG,2.544,2.544
APPLE_ELSTAR,ONLINE,NL-GE,826.8399999999999,Weekly,2023-05-15,2023-05-21,KG,2.576,2.576
APPLE_ELSTAR,ONLINE,NL-GE,790.3,Weekly,2023-05-22,2023-05-28,KG,2.579,2.579
APPLE_ELSTAR,ONLINE,NL-GE,814.4100000000001,Weekly,2023-05-29,2023-06-04,KG,2.706,2.706
APPLE_ELSTAR,ONLINE,NL-GE,689.67,Weekly,2023-06-05,2023-06-11,KG,2.614,2.614
APPLE_ELSTAR,ONLINE,NL-GE,753.1,Weekly,2023-06-12,2023-06-18,KG,2.61,2.61
APPLE_ELSTAR,ONLINE,NL-GE,712.79,Weekly,2023-06-19,2023-06-25,KG,2.585,2.585
APPLE_ELSTAR,ONLINE,NL-GE,690.47,Weekly,2023-06-26,2023-07-02,KG,2.606,2.606
APPLE_ELSTAR,ONLINE,NL-GE,666.9200000000001,Weekly,2023-07-03,2023-07-09,KG,2.589,2.589
APPLE_ELSTAR,ONLINE,NL-GE,723.43,Weekly,2023-07-10,2023-07-16,KG,2.547,2.547
