ProductID,ChannelID,LocationID,Qty,StartDate,EndDate,Period,UOM
APPLE_ELSTAR,AH,NL-GE,305.13,2023-01-30,2023-02-05,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,790.73,2023-02-06,2023-02-12,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,724.81,2023-02-13,2023-02-19,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,744.04,2023-02-20,2023-02-26,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,790.44,2023-02-27,2023-03-05,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,543.46,2023-03-06,2023-03-12,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,679.01,2023-03-13,2023-03-19,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,477.18,2023-03-20,2023-03-26,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,640.8,2023-03-27,2023-04-02,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,572.43,2023-04-03,2023-04-09,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,603.72,2023-04-10,2023-04-16,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,579.03,2023-04-17,2023-04-23,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,549.53,2023-04-24,2023-04-30,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,591.53,2023-05-01,2023-05-07,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,506.31,2023-05-08,2023-05-14,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,593.35,2023-05-15,2023-05-21,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,569.76,2023-05-22,2023-05-28,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,577.15,2023-05-29,2023-06-04,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,637.95,2023-06-05,2023-06-11,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,538.62,2023-06-12,2023-06-18,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,558.46,2023-06-19,2023-06-25,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,487.64,2023-06-26,2023-07-02,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,569.9,2023-07-03,2023-07-09,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,534.74,2023-07-10,2023-07-16,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,480.55,2023-07-17,2023-07-23,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,423.71,2023-07-24,2023-07-30,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,527.94,2023-07-31,2023-08-06,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,745.42,2023-08-07,2023-08-13,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,754.39,2023-08-14,2023-08-20,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,764.07,2023-08-21,2023-08-27,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,793.9,2023-08-28,2023-09-03,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,977.08,2023-09-04,2023-09-10,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,877.06,2023-09-11,2023-09-17,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,721.33,2023-09-18,2023-09-24,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,977.81,2023-09-25,2023-10-01,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,1116.15,2023-10-02,2023-10-08,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,1086.2,2023-10-09,2023-10-15,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,782.46,2023-10-16,2023-10-22,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,802.32,2023-10-23,2023-10-29,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,905.67,2023-10-30,2023-11-05,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,865.61,2023-11-06,2023-11-12,Weekly,KG
APPLE_ELSTAR,AH,NL-GE,838.29,2023-11-13,2023-11-19,Weekly,KG
