ProductID,ChannelID,LocationID,Qty,Period,StartDate,EndDate,UOM,NetPrice,ListPrice
APPLE_FAMILY,ONLINE,NL-GE,2105.75,Weekly,2023-01-30,2023-02-05,KG,2.6,2.6
APPLE_FAMILY,ONLINE,NL-GE,4058.84,Weekly,2023-02-06,2023-02-12,KG,2.607,2.607
APPLE_FAMILY,ONLINE,NL-GE,3881.58,Weekly,2023-02-13,2023-02-19,KG,2.579,2.579
APPLE_FAMILY,ONLINE,NL-GE,3718.45,Weekly,2023-02-20,2023-02-26,KG,2.623,2.623
APPLE_FAMILY,ONLINE,NL-GE,4001.86,Weekly,2023-02-27,2023-03-05,KG,2.623,2.623
APPLE_FAMILY,ONLINE,NL-GE,3105.07,Weekly,2023-03-06,2023-03-12,KG,2.588,2.588
APPLE_FAMILY,ONLINE,NL-GE,3832.57,Weekly,2023-03-13,2023-03-19,KG,2.599,2.599
APPLE_FAMILY,ONLINE,NL-GE,3212.88,Weekly,2023-03-20,2023-03-26,KG,2.591,2.591
APPLE_FAMILY,ONLINE,NL-GE,3236.93,Weekly,2023-03-27,2023-04-02,KG,2.592,2.592
APPLE_FAMILY,ONLINE,NL-GE,3524.66,Weekly,2023-04-03,2023-04-09,KG,2.611,2.611
APPLE_FAMILY,ONLINE,NL-GE,3198.28,Weekly,2023-04-10,2023-04-16,KG,2.604,2.604
APPLE_FAMILY,ONLINE,NL-GE,3278.98,Weekly,2023-04-17,2023-04-23,KG,2.594,2.594
APPLE_FAMILY,ONLINE,NL-GE,3246.4900000000002,Weekly,2023-04-24,2023-04-30,KG,2.604,2.604
APPLE_FAMILY,ONLINE,NL-GE,3254.84,Weekly,2023-05-01,2023-05-07,KG,2.575,2.575
APPLE_FAMILY,ONLINE,NL-GE,2882.1,Weekly,2023-05-08,2023-05-14,KG,2.565,2.565
APPLE_FAMILY,ONLINE,NL-GE,3562.8,Weekly,2023-05-15,2023-05-21,KG,2.58,2.58
APPLE_FAMILY,ONLINE,NL-GE,3361.29,Weekly,2023-05-22,2023-05-28,KG,2.591,2.591
APPLE_FAMILY,ONLINE,NL-GE,3429.76,Weekly,2023-05-29,2023-06-04,KG,2.593,2.593
