ProductID,ChannelID,LocationID,StartDate,EndDate,Period,Qty,UOM,NetPrice,ListPrice,ForecastQty,Method
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-02,2026-02-02,Daily,,KG,2.569,2.569,126.22157287597656,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-03,2026-02-03,Daily,,KG,2.569,2.569,135.42913818359375,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-04,2026-02-04,Daily,,KG,2.569,2.569,123.1788558959961,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-05,2026-02-05,Daily,,KG,2.569,2.569,130.99362182617188,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-06,2026-02-06,Daily,,KG,2.569,2.569,128.45054626464844,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-07,2026-02-07,Daily,,KG,2.569,2.569,106.67403411865234,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-08,2026-02-08,Daily,,KG,2.569,2.569,94.8603515625,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-09,2026-02-09,Daily,,KG,2.569,2.569,114.15235900878906,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-10,2026-02-10,Daily,,KG,2.569,2.569,116.73047637939453,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-11,2026-02-11,Daily,,KG,2.569,2.569,109.4531478881836,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-12,2026-02-12,Daily,,KG,2.569,2.569,127.61540985107422,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-13,2026-02-13,Daily,,KG,2.569,2.569,142.53219604492188,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-14,2026-02-14,Daily,,KG,2.569,2.569,123.41258239746094,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-15,2026-02-15,Daily,,KG,2.569,2.569,119.85334777832031,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-16,2026-02-16,Daily,,KG,2.569,2.569,136.90599060058594,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-17,2026-02-17,Daily,,KG,2.569,2.569,138.30953979492188,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-18,2026-02-18,Daily,,KG,2.569,2.569,104.72923278808594,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-19,2026-02-19,Daily,,KG,2.569,2.569,122.26681518554688,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-20,2026-02-20,Daily,,KG,2.569,2.569,137.18531799316406,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-21,2026-02-21,Daily,,KG,2.569,2.569,114.41021728515625,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-22,2026-02-22,Daily,,KG,2.569,2.569,99.58158874511719,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-23,2026-02-23,Daily,,KG,2.569,2.569,126.68508911132812,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-24,2026-02-24,Daily,,KG,2.569,2.569,125.26581573486328,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-25,2026-02-25,Daily,,KG,2.569,2.569,133.25439453125,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-26,2026-02-26,Daily,,KG,2.569,2.569,111.29566192626953,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-27,2026-02-27,Daily,,KG,2.569,2.569,126.51750946044922,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-28,2026-02-28,Daily,,KG,2.569,2.569,128.8619842529297,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-GE,2026-03-01,2026-03-01,Daily,,KG,2.569,2.569,111.89118194580078,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-NB,2026-02-02,2026-02-02,Daily,,KG,2.652,2.652,132.97207641601562,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-NB,2026-02-03,2026-02-03,Daily,,KG,2.652,2.652,137.97821044921875,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-NB,2026-02-04,2026-02-04,Daily,,KG,2.652,2.652,124.36409759521484,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-NB,2026-02-05,2026-02-05,Daily,,KG,2.652,2.652,143.4010467529297,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-NB,2026-02-06,2026-02-06,Daily,,KG,2.652,2.652,142.57418823242188,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-NB,2026-02-07,2026-02-07,Daily,,KG,2.652,2.652,96.6661376953125,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-NB,2026-02-08,2026-02-08,Daily,,KG,2.652,2.652,106.49366760253906,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-NB,2026-02-09,2026-02-09,Daily,,KG,2.652,2.652,126.8993148803711,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-NB,2026-02-10,2026-02-10,Daily,,KG,2.652,2.652,125.2862319946289,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-NB,2026-02-11,2026-02-11,Daily,,KG,2.652,2.652,129.47567749023438,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-NB,2026-02-12,2026-02-12,Daily,,KG,2.652,2.652,138.24122619628906,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-NB,2026-02-13,2026-02-13,Daily,,KG,2.652,2.652,140.7024688720703,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-NB,2026-02-14,2026-02-14,Daily,,KG,2.652,2.652,115.06086730957031,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-NB,2026-02-15,2026-02-15,Daily,,KG,2.652,2.652,121.16144561767578,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-NB,2026-02-16,2026-02-16,Daily,,KG,2.652,2.652,127.46099853515625,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-NB,2026-02-17,2026-02-17,Daily,,KG,2.652,2.652,147.6637725830078,xgboost_feat
APPLE_ELSTAR,ONLINE,NL-NB,2026-02-18,2026-02-18,Daily,,KG,2.652,2.652,117.26451110839844,xgboost_feat
