ProductID,ChannelID,LocationID,StartDate,EndDate,Period,Qty,UOM,NetPrice,ListPrice,ForecastQty,Method
APPLE_FAMILY,ONLINE,NL-GE,2026-02-02,2026-02-08,Weekly,,KG,2.579,2.579,4154.673828125,xgboost_baseline
APPLE_FAMILY,ONLINE,NL-GE,2026-02-09,2026-02-15,Weekly,,KG,2.579,2.579,4193.82763671875,xgboost_baseline
APPLE_FAMILY,ONLINE,NL-GE,2026-02-16,2026-02-22,Weekly,,KG,2.579,2.579,4063.43798828125,xgboost_baseline
APPLE_FAMILY,ONLINE,NL-GE,2026-02-23,2026-03-01,Weekly,,KG,2.579,2.579,4274.326171875,xgboost_baseline
APPLE_FAMILY,ONLINE,NL-GE,2026-03-02,2026-03-08,Weekly,,KG,2.579,2.579,4053.499755859375,xgboost_baseline
APPLE_FAMILY,ONLINE,NL-GE,2026-03-09,2026-03-15,Weekly,,KG,2.579,2.579,4024.92431640625,xgboost_baseline
APPLE_FAMILY,ONLINE,NL-GE,2026-03-16,2026-03-22,Weekly,,KG,2.579,2.579,4092.870849609375,xgboost_baseline
APPLE_FAMILY,ONLINE,NL-GE,2026-03-23,2026-03-29,Weekly,,KG,2.579,2.579,4016.75,xgboost_baseline
APPLE_FAMILY,ONLINE,NL-GE,2026-03-30,2026-04-05,Weekly,,KG,2.579,2.579,4377.13037109375,xgboost_baseline
APPLE_FAMILY,ONLINE,NL-GE,2026-04-06,2026-04-12,Weekly,,KG,2.579,2.579,4270.41259765625,xgboost_baseline
APPLE_FAMILY,ONLINE,NL-GE,2026-04-13,2026-04-19,Weekly,,KG,2.579,2.579,3840.013427734375,xgboost_baseline
APPLE_FAMILY,ONLINE,NL-GE,2026-04-20,2026-04-26,Weekly,,KG,2.579,2.579,3941.22265625,xgboost_baseline
APPLE_FAMILY,ONLINE,NL-GE,2026-04-27,2026-05-03,Weekly,,KG,2.579,2.579,4106.9033203125,xgboost_baseline
APPLE_FAMILY,ONLINE,NL-NB,2026-02-02,2026-02-08,Weekly,,KG,2.655,2.655,3899.766845703125,xgboost_baseline
APPLE_FAMILY,ONLINE,NL-NB,2026-02-09,2026-02-15,Weekly,,KG,2.655,2.655,4089.1025390625,xgboost_baseline
APPLE_FAMILY,ONLINE,NL-NB,2026-02-16,2026-02-22,Weekly,,KG,2.655,2.655,4291.03515625,xgboost_baseline
APPLE_FAMILY,ONLINE,NL-NB,2026-02-23,2026-03-01,Weekly,,KG,2.655,2.655,4206.07568359375,xgboost_baseline
APPLE_FAMILY,ONLINE,NL-NB,2026-03-02,2026-03-08,Weekly,,KG,2.655,2.655,4019.66796875,xgboost_baseline
APPLE_FAMILY,ONLINE,NL-NB,2026-03-09,2026-03-15,Weekly,,KG,2.655,2.655,4017.88623046875,xgboost_baseline
APPLE_FAMILY,ONLINE,NL-NB,2026-03-16,2026-03-22,Weekly,,KG,2.655,2.655,4042.019287109375,xgboost_baseline
APPLE_FAMILY,ONLINE,NL-NB,2026-03-23,2026-03-29,Weekly,,KG,2.655,2.655,4099.0556640625,xgboost_baseline
