ProductID,ChannelID,LocationID,StartDate,EndDate,Period,Qty,UOM,NetPrice,ListPrice,ForecastQty,Method
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-02,2026-02-02,Daily,,KG,2.569,2.569,160.56961059570312,xgboost_baseline
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-03,2026-02-03,Daily,,KG,2.569,2.569,158.69557189941406,xgboost_baseline
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-04,2026-02-04,Daily,,KG,2.569,2.569,159.6446075439453,xgboost_baseline
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-05,2026-02-05,Daily,,KG,2.569,2.569,164.00216674804688,xgboost_baseline
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-06,2026-02-06,Daily,,KG,2.569,2.569,186.4175262451172,xgboost_baseline
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-07,2026-02-07,Daily,,KG,2.569,2.569,162.44754028320312,xgboost_baseline
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-08,2026-02-08,Daily,,KG,2.569,2.569,146.48672485351562,xgboost_baseline
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-09,2026-02-09,Daily,,KG,2.569,2.569,173.0327911376953,xgboost_baseline
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-10,2026-02-10,Daily,,KG,2.569,2.569,172.8013458251953,xgboost_baseline
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-11,2026-02-11,Daily,,KG,2.569,2.569,169.78176879882812,xgboost_baseline
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-12,2026-02-12,Daily,,KG,2.569,2.569,153.97821044921875,xgboost_baseline
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-13,2026-02-13,Daily,,KG,2.569,2.569,165.69606018066406,xgboost_baseline
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-14,2026-02-14,Daily,,KG,2.569,2.569,148.2900390625,xgboost_baseline
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-15,2026-02-15,Daily,,KG,2.569,2.569,141.8665313720703,xgboost_baseline
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-16,2026-02-16,Daily,,KG,2.569,2.569,164.3351287841797,xgboost_baseline
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-17,2026-02-17,Daily,,KG,2.569,2.569,167.17320251464844,xgboost_baseline
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-18,2026-02-18,Daily,,KG,2.569,2.569,160.59133911132812,xgboost_baseline
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-19,2026-02-19,Daily,,KG,2.569,2.569,161.2058868408203,xgboost_baseline
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-20,2026-02-20,Daily,,KG,2.569,2.569,151.01622009277344,xgboost_baseline
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-21,2026-02-21,Daily,,KG,2.569,2.569,147.3298797607422,xgboost_baseline
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-22,2026-02-22,Daily,,KG,2.569,2.569,141.92706298828125,xgboost_baseline
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-23,2026-02-23,Daily,,KG,2.569,2.569,149.38522338867188,xgboost_baseline
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-24,2026-02-24,Daily,,KG,2.569,2.569,155.08084106445312,xgboost_baseline
APPLE_ELSTAR,ONLINE,NL-GE,2026-02-25,2026-02-25,Daily,,KG,2.569,2.569,154.95010375976562,xgboost_baseline
